Sample	Population	B	Ca	Cd	Co	Cu	Fe	K	Li	Mg	Mn	Mo	Na	Ni	P	Pb	Rb	S	Sr	Zn
Khe-32	Morocco	48.8775	26701.25	1.1495	0.1155	7.548	78.5195	54318.228	0.9235	2659.661	132.577	0.409	1211.6115	0.137	11216.9035	1.3695	11.9305	8278.403	23.8855	349.204
Meh-0	Morocco	42.894	26188.55	0.71	0.079	8.311	84.287	43984.896	0.858	3438.68	121.645	0.483	900.6	0.088	12016.121	1.359	10.434	8891.126	17.873	298.713
Tah-0	Morocco	56.4895	23462.394	1.1065	0.0745	8.748	91.383	52577.4705	0.839	2723.379	110.813	0.442	956.105	0.115	11206.9395	0.6175	11.6775	8083.004	17.3185	125.913
Tah-4	Morocco	50.6295	29730.068	0.7975	0.0865	7.2765	68.7025	49759.1355	0.889	2913.518	114.2485	0.168	628.2245	0.0785	12291.3415	0.47	10.057	9447.505	26.833	131.271
Taz-0	Morocco	44.141	29825.973	0.815	0.073	8.547	76.097	41765.034	0.78	3766.378	135.967	0.469	630.819	0.171	13202.799	0.363	8.484	8386.983	31.126	185.884
Taz-11	Morocco	57.6825	27704.1805	0.922	0.079	8.457	91.528	47081.348	0.824	3074.56	131.35	0.578	904.919	1.525	11729.2455	1.262	9.633	8581.0745	24.7795	275.255
Taz-16	Morocco	49.065	24329.1705	0.7765	0.064	8.1845	72.0435	45890.2555	0.772	3265.941	109.003	0.2995	680.986	0.1575	12638.6325	0.299	10.3635	10288.968	17.9315	86.214
Taz-18	Morocco	53.902	32585.319	1.031	0.077	9.19	80.223	40845.944	0.81	3906.423	140.9	0.583	705.113	0.069	12836.604	0.688	8.614	8606.999	19.739	164.536
Til-2	Morocco	46.6325	30714.5625	0.4165	0.0905	7.7625	78.545	42623.5795	0.8635	3893.694	117.1705	0.3475	759.409	0.1695	13517.5585	0.9255	8.042	8135.478	20.1625	284.918
Tiz-0	Morocco	51.773	29343.097	0.609	0.083	8.403	72.547	52242.626	0.945	3105.957	138.962	0.358	767.708	0.087	11620.468	0.585	9.121	10165.598	21.406	118.019
Zin-4	Morocco	59.644	31635.6255	0.798	0.094	8.6585	82.1495	41243.3165	1.068	3437.8505	150.908	0.518	1005.573	0.096	11049.5905	1.0715	8.5405	10389.273	22.555	203.982
Zin-9	Morocco	57.097	33227.408	0.446	0.092	7.868	81.485	40002.414	1.025	3366.456	127.041	0.69	657.563	0.144	11897.829	1.255	8.004	9929.481	23.016	101.051
ifr-3	Morocco	50.738	26348.172	1.393	0.0785	7.672	79.375	43360.3975	0.812	3271.252	139.6815	0.3955	513.6605	0.11	12048.6585	0.365	9.162	10141.913	19.1405	150.2145
Cvi-0	SantoAntao	62.864	21599.6905	1.7535	0.06	9.334	89.564	54919.25	0.9395	2590.692	125.9935	0.781	650.7785	0.071	12684.1985	0.605	10.765	8505.423	20.0065	180.592
S1-1	S1-1	52.624	30024.0695	1.3515	0.078	8.4385	94.6985	45007.867	1.0165	3083.0935	175.3625	0.5125	639.0565	0.107	10929.7015	0.932	9.472	8680.0515	32.3095	153.4345
S1-100	SantoAntao	51.455	28821.089	0.7955	0.0685	8.1615	70.4905	49669.1675	0.8895	3091.4115	135.771	0.6465	641.638	0.107	13363.5235	1.1005	10.462	8181.6425	19.982	102.0485
S10-100	SantoAntao	55.3805	25505.0495	1.455	0.0625	9.769	79.5055	51237.4225	0.922	3181.5525	129.8035	0.8015	710.2295	0.1095	12590.9945	0.9265	10.078	8474.328	17.835	163.78
S10-101	SantoAntao	54.659	29900.154	0.79	0.071	7.703	72.215	51275.047	0.883	3378.941	132.139	0.479	617.936	0.073	12183.624	0.342	11.648	7637.635	22.164	106.984
S10-102	SantoAntao	63.632	27105.677	0.501	0.061	8.497	80.246	54368.483	0.999	3076.797	143.53	0.65	698.29	0.078	12004.574	0.673	9.748	8098.606	17.187	114.672
S10-105	SantoAntao	55.108	26366.072	0.544	0.071	7.599	87.539	48210.488	1.135	3032.162	143.187	0.418	705.918	0.13	11273.742	0.937	11.414	7849.138	23.362	163.233
S10-12	SantoAntao	49.409	26345.967	0.693	0.074	8.737	72.791	50578.738	0.98	3165.095	121.434	0.519	723.338	0.085	12282.401	0.565	9.917	8807.378	16.855	114.058
S10-16	SantoAntao	50.221	28678.163	1.069	0.076	7.824	81.351	49261.049	0.903	3047.602	132.93	0.429	511.296	0.084	12954.661	0.936	10.154	7465.29	20.058	159.274
S10-29	SantoAntao	54.495	31148.891	0.914	0.091	8.311	75.045	47146.492	1.006	3227.471	139.041	0.669	607.662	0.109	12245.378	0.999	10.766	8066.52	22.819	262.907
S10-5	SantoAntao	46.6375	21771.3405	0.5535	0.0725	8.372	85.067	53436.6535	0.7725	2774.7205	110.149	0.5115	433.379	0.0935	13671.365	0.6815	9.7385	9059.4795	15.108	112.8585
