Sample	Population	Red	Green	Area (cm2)	Greenness
F13-T1-1115-26	Fogo	170.5487	182.5243	0.589466478	1.05782977
F13-T1-1115-7	Fogo	172.63895	185.67725	0.777348526	1.090882511
F14-1	Fogo	152.92055	166.52055	1.048266419	1.102677797
F14-2	Fogo	163.1046	174.83465	0.833096973	1.07434563
F14-3	Fogo	172.38685	178.9201	0.350041567	1.040878812
F15-1	Fogo	160.7127	173.9456	0.582717981	1.084485595
F15-2	Fogo	165.811	181.48485	0.975011003	1.101401241
F15-3	Fogo	160.1541	172.0967	0.765709815	1.074590125
F15-4	Fogo	153.58415	169.0759	0.76629664	1.096863989
F16-1	Fogo	171.98715	188.6746	0.800723752	1.085694484
F16-11	Fogo	166.17025	181.49505	0.896669764	1.091136381
F16-12	Fogo	153.1571	168.32995	0.767568096	1.084814491
F16-13	Fogo	165.0611	180.04125	1.38246369	1.09145419
F16-14	Fogo	173.6617	187.12765	0.847082987	1.07331289
F16-15	Fogo	148.79785	164.8675	0.624969436	1.081186776
F16-16	Fogo	173.7105	187.3806	0.60501736	1.057452957
F16-23	Fogo	164.59955	178.7165	0.882292533	1.096137294
F16-24	Fogo	165.5382	179.8906	0.703604088	1.086701438
F16-25	Fogo	157.42335	167.9348	0.576947528	1.065918962
F16-3	Fogo	156.2235	170.6426	0.495280943	1.092297894
F16-5	Fogo	174.5232	186.2536	0.365983667	1.042974186
F16-6	Fogo	173.26385	181.6918	0.276786151	1.049004046
F16-7	Fogo	156.0034	169.5462	0.552789867	1.086810928
F2-301	Fogo	160.0831	173.4281	0.447356839	1.083362953
F2-4	Fogo	153.7182	164.3001	0.468482566	1.062227122
F2-5	Fogo	149.91175	158.67415	0.153552741	1.058703751
F2-6	Fogo	172.5257	186.3536	0.936280503	1.080100583
F2-SS1	Fogo	161.97295	174.59105	0.675534256	1.066328015
F3-1	Fogo	149.7071	163.34585	0.837302558	1.085800348
F3-2	Fogo	157.89255	175.536	0.922881314	1.111812668
F3-3	Fogo	164.6214	178.5723	0.643258839	1.082346628
F3-SS2	Fogo	170.0394	181.7112	0.760526187	1.068641738
F3-T1-1115-12	Fogo	166.8029	181.5681	0.960633772	1.069732791
F3-T1-1115-2	Fogo	164.43455	177.2497	0.574600225	1.076287203
F3-T1-1115-20	Fogo	162.9816	177.79275	1.529170131	1.09214692
F3-T1-1115-28	Fogo	175.5039	185.1286	0.329991687	1.054840377
F3-T1-1115-3	Fogo	166.354	178.606	0.621057264	1.064470651
F3-T2-1115-13	Fogo	166.407	178.938	0.650202944	1.075534194
F3-T2-1115-8	Fogo	157.20075	175.72345	1.283290136	1.115328994
F4-101	Fogo	168.29345	182.1328	1.057068805	1.086875938
F4-102	Fogo	137.31795	152.54815	0.842583989	1.111233083
F4-103	Fogo	154.3405	169.09725	0.833096973	1.087449662
F4-104	Fogo	146.2865	162.9472	0.731576116	1.069102624
F4-105	Fogo	160.49885	176.31325	0.63964008	1.080685784
F4-106	Fogo	169.9651	178.11995	0.479925669	1.031866204
F4-12	Fogo	171.4853	184.8416	0.329209252	1.071704494
F4-13	Fogo	159.45885	173.59785	1.103525845	1.090006519
F4-2	Fogo	160.81815	167.29535	0.344760135	1.05434508
F4-4	Fogo	156.5893	173.03785	0.726490293	1.103657651
F4B-16	Fogo	146.6936	160.25245	0.374883857	1.094745677
F4B-17	Fogo	170.6585	182.44305	0.533522422	1.06229711
F5-1	Fogo	172.6919	184.0935	0.864589955	1.075880922
F5-3	Fogo	144.5264	159.2666	1.188517776	1.112107734
F5-7-3	Fogo	172.5746	174.9006	0.579588244	1.09480859
F5-7-4	Fogo	154.9765	170.6092	0.6036481	1.096926608
F5-7S1	Fogo	161.28105	169.34635	0.568927576	1.067021565
F5-8	Fogo	164.6034	176.4382	0.462712113	1.061580622
F5-SS1	Fogo	147.83425	160.85135	0.97677148	1.088054469
F5-T1-1115-10	Fogo	153.4646	160.2093	0.556604235	1.0681618
F5-T1-1115-25	Fogo	166.9887	171.7499	0.444227102	1.061643155
F5-T1-1115-55	Fogo	149.5085	166.74475	0.708494303	1.116969635
F7-11T	Fogo	178.7719	190.1937	0.560320798	1.064155383
F7-19b	Fogo	162.8453	177.40225	0.743606044	1.088579877
F7-6T	Fogo	172.7029	182.82875	0.913296494	1.075030264
F7-7B	Fogo	162.0042	173.7315	0.37243875	1.067377266
F7-B12	Fogo	171.45785	184.52315	0.675436452	1.069262477
F7-B2	Fogo	151.1408	162.0079	0.567460512	1.071900506
F7-B8	Fogo	177.61845	189.20145	0.714362561	1.065222509
F7-R3	Fogo	164.4015	178.67295	0.791627952	1.086982842
F7-S1	Fogo	164.2608	181.58065	1.146950951	1.105440843
F7-S4	Fogo	175.01095	188.8168	1.027434104	1.081702845
F7-T14	Fogo	161.4155	175.26385	0.621057264	1.085750387
F7-T5	Fogo	158.4218	165.10335	0.726685902	1.071250668
F8-2	Fogo	163.1338	176.53645	0.543302851	1.0820988
F8-302	Fogo	148.3063	162.2334	0.559538364	1.099647728
F8-5	Fogo	165.97375	176.4055	0.58633674	1.068296612
F8-6	Fogo	157.9711	173.86795	0.752506235	1.095507198
F8-7	Fogo	162.29475	178.96405	0.823120935	1.089145956
F8B-1	Fogo	165.1998	176.78715	0.611765857	1.076526743
F9-2	Fogo	151.60715	167.35965	0.559733972	1.089431825
F9-3	Fogo	163.2338	174.43105	0.454985574	1.068664779
Ifr-0	Morocco	150.83305	169.34485	1.427453665	1.120553825
Ifr-4	Morocco	129.9387	148.9439	1.29111448	1.141547509
Ifr-6	Morocco	156.3162	169.3286	0.275416891	1.060962311
Ket-10	Morocco	136.1311	156.0187	1.781309599	1.138452329
Ket-12	Morocco	135.08955	155.06755	1.389407795	1.149965168
Khe-0	Morocco	125.3544	140.0938	0.95466771	1.117615045
Khe-32	Morocco	144.5271	161.85055	0.698713874	1.1209171
Meh-0	Morocco	162.36545	177.9075	1.355763118	1.095585803
Meh-4	Morocco	162.4957	175.78225	1.78610201	1.098734077
Meh-7	Morocco	155.91665	170.54925	0.750843562	1.096643769
Oua-0	Morocco	151.4426	173.42015	2.42163431	1.140776154
S1-100	SantoAntao	128.3351	144.807	1.002787422	1.141628626
S1-3	SantoAntao	157.5204	170.6799	0.431903761	1.074952832
S1-5	SantoAntao	152.4027	163.8146	0.844442271	1.079176096
S10-100	SantoAntao	148.5459	166.4256	1.021076825	1.120364817
S10-101	SantoAntao	171.8018	177.4784	0.812166854	1.077826415
S10-102	SantoAntao	166.395	187.9198	1.30842584	1.104661603
S10-105	SantoAntao	156.63615	176.9147	1.342168321	1.115774938
S10-12	SantoAntao	145.39395	160.68475	1.125629615	1.105306195
S10-16	SantoAntao	149.00415	165.73285	0.725316641	1.102695158
S10-204	SantoAntao	152.30475	172.31665	1.232627512	1.10756477
S10-208	SantoAntao	150.6211	156.90985	0.418113355	1.051169919
S10-29	SantoAntao	146.77085	166.64445	1.312338012	1.127394538
S10-5	SantoAntao	173.79355	191.36005	0.645117121	1.069239402
S10-open-2	SantoAntao	141.5068	159.5923	0.868893344	1.12921416
S10-open-3	SantoAntao	135.0176	149.7733	0.670937454	1.118845359
S10-open-4	SantoAntao	150.34765	167.46035	1.323389897	1.113902107
S11-100	SantoAntao	165.00285	182.1035	1.383735146	1.115783428
S11-101	SantoAntao	130.6145	147.0532	0.987432148	1.125856624
S11-102	SantoAntao	127.73755	144.4212	1.159176488	1.130598596
S11-103	SantoAntao	159.7668	178.434	1.641840677	1.116835785
S11-105	SantoAntao	160.2415	177.24705	1.148809233	1.106175274
S11-14	SantoAntao	143.6026	159.28515	0.957797447	1.114138897
S11-19	SantoAntao	140.03375	153.41275	0.963959118	1.09704634
S11-20	SantoAntao	157.19815	167.89175	1.354002641	1.138340381
S11-28	SantoAntao	156.07595	174.08635	1.689960389	1.121584331
S11-33	SantoAntao	146.6974	165.5073	1.281040638	1.121234584
S11-35	SantoAntao	155.4223	171.87225	1.0113942	1.110598824
S11-36	SantoAntao	129.97255	149.75145	1.140300259	1.150966242
S11-4	SantoAntao	149.23805	166.73435	1.64213409	1.101307848
S11-41	SantoAntao	142.9484	154.2903	2.069734461	1.138076344
S11-45	SantoAntao	157.22945	177.6275	2.085383148	1.137192095
S11-47	SantoAntao	156.18935	171.19365	1.213751284	1.095339903
S11-54	SantoAntao	142.39875	156.98495	0.980585848	1.132752312
S11-57	SantoAntao	155.5008	169.9205	1.229595579	1.092730713
S11-58	SantoAntao	158.3871	177.38085	1.088268375	1.127803377
S11-60	SantoAntao	153.9844	166.3504	0.591911585	1.087183904
S11-61	SantoAntao	141.2692	161.7667	1.350383882	1.130893846
S11-62	SantoAntao	137.39835	154.8075	1.104112671	1.127714768
S11-63	SantoAntao	151.87885	165.99495	1.12846594	1.111752114
S11-9	SantoAntao	159.70455	170.64565	1.072326275	1.097218585
S11-R2-T2-15-220	SantoAntao	146.02265	165.8915	0.950168712	1.138041102
S11-R2-T2-15-233	SantoAntao	161.691	178.55715	1.176390044	1.104967722
S15-1	SantoAntao	142.1948	155.97225	0.819404372	1.098492419
S15-13	SantoAntao	159.26505	174.38475	1.341777104	1.096021071
S15-14	SantoAntao	148.04585	164.09305	1.241429899	1.108431946
S15-15	SantoAntao	154.8974	168.60165	1.283583549	1.108916548
S15-2	SantoAntao	138.70495	156.7744	1.201916964	1.134597308
S15-5	SantoAntao	147.8558	164.9454	1.180497824	1.138459996
S15-6	SantoAntao	149.44875	167.99155	1.422172233	1.12442717
S15-7	SantoAntao	160.6447	177.1874	1.351068512	1.09689565
S15-8	SantoAntao	138.2545	157.07585	1.321140398	1.136132687
S15-T1-15-10	SantoAntao	128.1385	142.802	1.053352242	1.132544044
S15-T1-15-11	SantoAntao	137.26695	155.5564	1.309990709	1.134449673
S15-T1-15-12	SantoAntao	167.66285	184.51445	1.041028901	1.109719582
S15-T1-15-14	SantoAntao	148.25335	165.68065	0.988312387	1.117327094
S15-T1-15-16	SantoAntao	156.8594	178.0708	1.156829185	1.129937706
S15-T1-15-19	SantoAntao	148.3066	165.8119	1.159861118	1.118036972
S15-T1-15-21	SantoAntao	138.6227	154.4064	0.992322363	1.119034568
S15-T1-15-25	SantoAntao	142.48085	159.36455	1.196928945	1.131513067
S15-T1-15-3	SantoAntao	153.57025	173.3529	1.136877109	1.129135513
S15-T1-15-31	SantoAntao	155.9969	173.38285	1.309892904	1.103862389
S15-T1-15-4	SantoAntao	140.1738	160.8583	1.246417918	1.147602154
S15-T1-15-5	SantoAntao	160.10245	179.08835	1.519291897	1.124208553
S15-T1-15-6	SantoAntao	136.88845	154.68725	0.965230574	1.127301986
S15-T2-15-1	SantoAntao	161.0697	174.12225	1.010905179	1.101741684
S15-T2-15-13	SantoAntao	129.95295	147.25915	0.909873343	1.156418793
S15-T2-15-16	SantoAntao	150.90715	168.64055	1.571421585	1.133673905
