Accession	Area (cm2)	Greenness	RelativeChlorophyll	NRAMP1copy	Experiment
F13-301	0.52687173	1.102194088	NA	2.9258136	Exp2
F13-302	0.896865372	1.089722696	NA	2.989018491	Exp2
F13-303	0.774316592	1.082151794	NA	3.973219853	Exp2
F13-4	0.416841899	1.062629459	NA	2.336547803	Exp2
F13-5	0.416059465	1.079059453	NA	2.311737889	Exp2
F13-6	0.545845763	1.097395424	41.56	4.732364949	Exp2
F13-7	0.598953494	1.071435829	NA	2.436533587	Exp2
F13-8	0.605408577	1.11770267	35.53	2.732574059	Exp2
F13-T1-0217-209	0.625262849	1.113905962	NA	2.891874231	Exp2
F13-T1-0217-210	0.519536408	1.08943268	NA	2.798252157	Exp2
F13-T1-0217-221	0.676512299	1.066970946	NA	3.482910469	Exp2
F13-T1-0217-223	0.749669911	1.073937841	NA	2.190182906	Exp2
F13-T1-1115-12	0.667905521	1.068821206	NA	2.584607152	Exp2
F13-T1-1115-14	0.539390679	1.052706105	NA	2.427116811	Exp2
F13-T1-1115-26	0.589466478	1.05782977	NA	2.968698123	Exp2
F13-T1-1115-7	0.777348526	1.090882511	NA	2.750817931	Exp2
F14-1	1.048266419	1.102677797	34.51	3.136423289	Exp2
F14-2	0.833096973	1.07434563	NA	3.528054806	Exp2
F14-3	0.350041567	1.040878812	NA	3.751673228	Exp2
F15-1	0.582717981	1.084485595	NA	2.938312034	Exp2
F15-2	0.975011003	1.101401241	NA	2.739767835	Exp2
F15-3	0.765709815	1.074590125	NA	2.547366989	Exp2
F15-4	0.76629664	1.096863989	NA	3.104428007	Exp2
F16-1	0.800723752	1.085694484	NA	1.888376156	Exp2
F16-11	0.896669764	1.091136381	NA	3.060926256	Exp2
F16-12	0.767568096	1.084814491	26.03	2.245868493	Exp2
F16-13	1.38246369	1.09145419	NA	2.546550214	Exp2
F16-14	0.847082987	1.07331289	NA	2.201925024	Exp2
F16-15	0.624969436	1.081186776	33.59	3.087515765	Exp2
F16-16	0.60501736	1.057452957	NA	3.101549938	Exp2
F16-23	0.882292533	1.096137294	NA	5.09989994	Exp2
