SeqID	SampleID	Sub-population	Region	PC1	PC2
3619_B	F3-T1-1115-3	F3 	MonteVelha	-0.0458076	0.00208725
3619_D	F3-T2-1115-8	F3 	MonteVelha	-0.0399364	-0.131518
3619_X	F3-T1-1115-20	F3 	MonteVelha	-0.0397684	-0.130931
13187	F4-4	F4 	MonteVelha	-0.100921	0.0378847
3541_O	F4-101	F4 	MonteVelha	-0.0555474	0.0238325
3541_P	F4-2	F4 	MonteVelha	-0.073739	0.0249685
3541_Q	F4-13	F4 	MonteVelha	-0.0184641	-0.000176208
3541_V	F4-12	F4 	MonteVelha	0.00814013	0.00781735
3541_Z	F4-105	F4 	MonteVelha	-0.0678284	0.0170995
3536_H	F4-102	F4 	MonteVelha	-0.063784	0.0230719
3536_J	F4-103	F4 	MonteVelha	-0.0557805	0.0239386
3536_O	F4-104	F4 	MonteVelha	-0.0677339	0.0170742
3541_R	F4-106	F4 	MonteVelha	-0.0556249	0.0238678
3541_I	F4B-17	F4B	MonteVelha	-0.0901255	0.0285467
3541_J	F4B-16	F4B	MonteVelha	-0.0901255	0.0285467
27155	F5-7S1	F5 	MonteVelha	-0.0892007	0.00394934
22635	F5-SS1	F5 	MonteVelha	-0.0789163	-0.014416
22625	F5-7-4	F5 	MonteVelha	-0.105477	0.0180599
22621	F5-7-3	F5 	MonteVelha	-0.0790759	-0.0341887
16295	F5-8	F5 	MonteVelha	-0.0802064	-0.0386635
13584	F5-3	F5 	MonteVelha	-0.0399364	-0.131518
13181	F5-1	F5 	MonteVelha	-0.0183984	-0.0990415
3541_D	F5-T1-1115-25	F5 	MonteVelha	-0.00979988	0.0122863
3619_M	F5-T1-1115-10	F5 	MonteVelha	-0.0338572	0.00372242
3619_N	F5-T1-1115-55	F5 	MonteVelha	-0.00985494	0.0123596
35515	F7-B2	F7 	MonteVelha	-0.101361	0.0243451
35514	F7-B12	F7 	MonteVelha	-0.101061	0.0242684
27173	F7-T14	F7 	MonteVelha	-0.100779	0.0241967
27171	F7-B8	F7 	MonteVelha	-0.102802	0.0247136
27167	F7-T5	F7 	MonteVelha	-0.100493	0.0241237
27166	F7-R3	F7 	MonteVelha	-0.101219	0.0243091
13577	F7-S10	F7 	MonteVelha	-0.101078	0.0242731
13576	F7-6T	F7 	MonteVelha	-0.100491	0.0241233
13575	F7-S1	F7 	MonteVelha	-0.100211	0.024052
13574	F7-7B	F7 	MonteVelha	-0.102779	0.0247077
13572	F7-11T	F7 	MonteVelha	-0.102515	0.0246404
13571	F7-S4	F7 	MonteVelha	-0.101078	0.0242731
12910	F7-19b	F7 	MonteVelha	-0.100733	0.024185
12767	F7-4b	F7 	MonteVelha	-0.100843	0.0242129
3968_AX	F8-301	F8 	MonteVelha	-0.114647	0.0227413
3968_AY	F8-302	F8 	MonteVelha	-0.0443655	0.0175331
13186	F8-7	F8 	MonteVelha	-0.105442	0.0296768
13182	F8-2	F8 	MonteVelha	-0.105294	0.0296326
12915	F8-5	F8 	MonteVelha	-0.105294	0.0296326
12768	F8-6	F8 	MonteVelha	-0.105442	0.0296768
3541_S	F8B-1	F8B	MonteVelha	-0.0432423	0.0170616
22644	F9-3	F9 	MonteVelha	0.00645517	0.00317799
21225	F9-2	F9 	MonteVelha	-0.0241392	0.00168083
