Accession	Area (cm2)	Greenness	NRAMP1copy
F5-7-4	0.6036481	1.096926608	3.307310074
F5-7S1	0.568927576	1.067021565	3.708005822
F5-8	0.462712113	1.061580622	3.26983106
F5-SS1	0.97677148	1.088054469	5.642117612
F5-T1-1115-10	0.556604235	1.0681618	2.188634294
F5-T1-1115-25	0.444227102	1.061643155	2.962607192
F5-T1-1115-55	0.708494303	1.116969635	3.048536115
F7-11T	0.560320798	1.064155383	3.120760101
F7-19b	0.743606044	1.088579877	3.240382236
F7-6T	0.913296494	1.075030264	2.78791542
F7-7B	0.37243875	1.067377266	2.935797929
F7-B12	0.675436452	1.069262477	3.083724411
F7-B2	0.567460512	1.071900506	2.383702025
F7-B8	0.714362561	1.065222509	3.031814501
F7-R3	0.791627952	1.086982842	3.259568615
F7-S1	1.146950951	1.105440843	2.939831
F7-S4	1.027434104	1.081702845	3.194936431
F7-T14	0.621057264	1.085750387	3.350649708
F7-T5	0.726685902	1.071250668	3.293831933
F8-2	0.543302851	1.0820988	2.923068535
F8-302	0.559538364	1.099647728	3.164920393
F8-5	0.58633674	1.068296612	2.947690737
F8-6	0.752506235	1.095507198	3.298724869
F8-7	0.823120935	1.089145956	2.996457301
F8B-1	0.611765857	1.076526743	3.176642639
F9-2	0.559733972	1.089431825	5.579482486
F9-3	0.454985574	1.068664779	2.151791813
